date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:25:22	31546/31546	---M-Z	200	added ('OK')	text/html	etag:%22155e1339-7b3a-56142be0fde00%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-folder-structure.html	C:/Users/KASHIF%20KAZMI/Desktop/blue/pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-folder-structure.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/)
11:25:22	24574/24574	---M-Z	200	added ('OK')	text/html	etag:%22155e134d-5ffe-56142be0fde00%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-styles-customization.html	C:/Users/KASHIF%20KAZMI/Desktop/blue/pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-styles-customization.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/)
11:25:23	22127/22127	---M-Z	200	added ('OK')	text/html	etag:%22155e1343-566f-56142be0fde00%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-javascript-usage.html	C:/Users/KASHIF%20KAZMI/Desktop/blue/pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-javascript-usage.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/)
11:25:23	27362/27362	---M-Z	200	added ('OK')	text/html	etag:%22155e133f-6ae2-56142be0fde00%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-html-structure.html	C:/Users/KASHIF%20KAZMI/Desktop/blue/pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-html-structure.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/)
11:25:23	31530/31530	---M-Z	200	added ('OK')	text/html	etag:%22155e1347-7b2a-56142be0fde00%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-menu-structure.html	C:/Users/KASHIF%20KAZMI/Desktop/blue/pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-menu-structure.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/)
11:25:23	35482/35482	---M-Z	200	added ('OK')	text/html	etag:%22155e1335-8a9a-56142be0fde00%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-customization.html	C:/Users/KASHIF%20KAZMI/Desktop/blue/pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-customization.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/)
11:25:24	33418/33418	---M-Z	200	added ('OK')	text/html	etag:%22155e1310-828a-56142be0fde00%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-color-primary.html	C:/Users/KASHIF%20KAZMI/Desktop/blue/pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-color-primary.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/)
11:25:24	33363/33363	---M-Z	200	added ('OK')	text/html	etag:%22155e1304-8253-56142be0fde00%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-color-danger.html	C:/Users/KASHIF%20KAZMI/Desktop/blue/pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-color-danger.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/)
11:25:24	33430/33430	---M-Z	200	added ('OK')	text/html	etag:%22155e1313-8296-56142be0fde00%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-color-success.html	C:/Users/KASHIF%20KAZMI/Desktop/blue/pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-color-success.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/)
11:25:24	33430/33430	---M-Z	200	added ('OK')	text/html	etag:%22155e1315-8296-56142be0fde00%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-color-warning.html	C:/Users/KASHIF%20KAZMI/Desktop/blue/pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-color-warning.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/)
11:25:25	33229/33229	---M-Z	200	added ('OK')	text/html	etag:%22155e130a-81cd-56142be0fde00%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-color-info.html	C:/Users/KASHIF%20KAZMI/Desktop/blue/pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-color-info.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/)
11:25:25	33162/33162	---M-Z	200	added ('OK')	text/html	etag:%22155e1312-818a-56142be0fde00%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-color-red.html	C:/Users/KASHIF%20KAZMI/Desktop/blue/pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-color-red.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/)
11:25:25	33229/33229	---M-Z	200	added ('OK')	text/html	etag:%22155e130f-81cd-56142be0fde00%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-color-pink.html	C:/Users/KASHIF%20KAZMI/Desktop/blue/pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-color-pink.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/)
11:25:25	33363/33363	---M-Z	200	added ('OK')	text/html	etag:%22155e1311-8253-56142be0fde00%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-color-purple.html	C:/Users/KASHIF%20KAZMI/Desktop/blue/pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-color-purple.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/)
11:25:26	33698/33698	---M-Z	200	added ('OK')	text/html	etag:%22155e1306-83a2-56142be0fde00%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-color-deep-purple.html	C:/Users/KASHIF%20KAZMI/Desktop/blue/pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-color-deep-purple.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/)
11:25:26	33363/33363	---M-Z	200	added ('OK')	text/html	etag:%22155e1309-8253-56142be0fde00%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-color-indigo.html	C:/Users/KASHIF%20KAZMI/Desktop/blue/pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-color-indigo.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/)
11:25:26	33229/33229	---M-Z	200	added ('OK')	text/html	etag:%22155e1301-81cd-56142be0fde00%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-color-blue.html	C:/Users/KASHIF%20KAZMI/Desktop/blue/pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/documentation-color-blue.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/documentation/)
